,player,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,season,votes_first,points_won,points_max,award_share
565,James Harden,78,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,2012-13,0,33,1210,0.027
566,Russell Westbrook,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,2012-13,0,9,1210,0.007
567,Dwyane Wade,69,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,2012-13,0,5,1210,0.004
568,Stephen Curry,78,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,11.2,2012-13,0,3,1210,0.002
569,Kevin Garnett,68,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,2012-13,0,1,1210,0.001
570,Marc Gasol,80,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,2012-13,0,1,1210,0.001
571,Ty Lawson,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,2012-13,0,1,1210,0.001
572,David Lee,79,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,2012-13,0,1,1210,0.001
573,Joakim Noah,66,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,2012-13,0,1,1210,0.001
574,Kevin Durant,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,2013-14,119,1232,1250,0.986
575,LeBron James,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,2013-14,6,891,1250,0.713
576,Blake Griffin,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,2013-14,0,434,1250,0.347
577,Joakim Noah,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,2013-14,0,322,1250,0.258
578,James Harden,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,2013-14,0,85,1250,0.068
579,Stephen Curry,78,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,2013-14,0,66,1250,0.053
580,Chris Paul,62,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,2013-14,0,45,1250,0.036
581,Al Jefferson,73,35,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,2013-14,0,34,1250,0.027
582,Paul George,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,2013-14,0,33,1250,0.026
583,LaMarcus Aldridge,69,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,2013-14,0,26,1250,0.021
584,Kevin Love,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,2013-14,0,25,1250,0.02
585,Tim Duncan,74,29.2,15.1,9.7,3,0.6,1.9,0.49,0,0.731,7.4,2013-14,0,21,1250,0.017
586,Tony Parker,68,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,2013-14,0,21,1250,0.017
587,Dirk Nowitzki,80,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,2013-14,0,7,1250,0.006
588,Carmelo Anthony,77,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,2013-14,0,4,1250,0.003
589,Goran Dragic,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,2013-14,0,3,1250,0.002
590,Mike Conley,73,33.5,17.2,2.9,6,1.5,0.2,0.45,0.361,0.815,8.2,2013-14,0,1,1250,0.001
591,Stephen Curry,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,2014-15,100,1198,1300,0.922
592,James Harden,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,2014-15,25,936,1300,0.72
593,LeBron James,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,2014-15,5,552,1300,0.425
594,Russell Westbrook,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,2014-15,0,352,1300,0.271
595,Anthony Davis,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,2014-15,0,203,1300,0.156
596,Chris Paul,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,2014-15,0,124,1300,0.095
597,LaMarcus Aldridge,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,2014-15,0,6,1300,0.005
598,Marc Gasol,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,2014-15,0,3,1300,0.002
599,Blake Griffin,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,2014-15,0,3,1300,0.002
600,Tim Duncan,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,2014-15,0,1,1300,0.001
601,Kawhi Leonard,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,2014-15,0,1,1300,0.001
602,Klay Thompson,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,2014-15,0,1,1300,0.001
603,Stephen Curry,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,2015-16,131,1310,1310,1
604,Kawhi Leonard,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,2015-16,0,634,1310,0.484
605,LeBron James,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,2015-16,0,631,1310,0.482
606,Russell Westbrook,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,2015-16,0,486,1310,0.371
607,Kevin Durant,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,2015-16,0,147,1310,0.112
608,Chris Paul,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,2015-16,0,107,1310,0.082
609,Draymond Green,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,2015-16,0,50,1310,0.038
610,Damian Lillard,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,2015-16,0,26,1310,0.02
611,James Harden,82,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,2015-16,0,9,1310,0.007
612,Kyle Lowry,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,2015-16,0,6,1310,0.005
613,Russell Westbrook,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,2016-17,69,888,1010,0.879
614,James Harden,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,2016-17,22,753,1010,0.746
615,Kawhi Leonard,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,2016-17,9,500,1010,0.495
616,LeBron James,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,2016-17,1,333,1010,0.33
617,Isaiah Thomas,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,2016-17,0,81,1010,0.08
618,Stephen Curry,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,2016-17,0,52,1010,0.051
619,Giannis Antetokounmpo,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,2016-17,0,7,1010,0.007
620,John Wall,78,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,2016-17,0,7,1010,0.007
621,Anthony Davis,75,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,2016-17,0,2,1010,0.002
622,Kevin Durant,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,2016-17,0,2,1010,0.002
623,DeMar DeRozan,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9,2016-17,0,1,1010,0.001
624,James Harden,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,2017-18,86,965,1010,0.955
625,LeBron James,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,2017-18,15,738,1010,0.731
626,Anthony Davis,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,2017-18,0,445,1010,0.441
627,Damian Lillard,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,2017-18,0,207,1010,0.205
628,Russell Westbrook,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,2017-18,0,76,1010,0.075
629,Giannis Antetokounmpo,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,2017-18,0,75,1010,0.074
630,Kevin Durant,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,2017-18,0,66,1010,0.065
631,DeMar DeRozan,80,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,2017-18,0,32,1010,0.032
632,LaMarcus Aldridge,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,2017-18,0,6,1010,0.006
633,Jimmy Butler,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,2017-18,0,5,1010,0.005
634,Stephen Curry,51,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,2017-18,0,5,1010,0.005
635,Joel Embiid,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,2017-18,0,4,1010,0.004
636,Victor Oladipo,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,2017-18,0,2,1010,0.002
636,Giannis Antetokounmpo,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,2018-19,78,941,1010,0.932
636,James Harden,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,2018-19,23,776,1010,0.768
636,Paul George,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,2018-19,0,356,1010,0.352
636,Nikola JokiÄ‡,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,2018-19,0,212,1010,0.21
636,Stephen Curry,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,2018-19,0,175,1010,0.173
636,Damian Lillard,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,2018-19,0,69,1010,0.068
636,Joel Embiid,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,2018-19,0,49,1010,0.049
636,Kevin Durant,78,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,2018-19,0,25,1010,0.025
636,Kawhi Leonard,60,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,2018-19,0,13,1010,0.013
636,Russell Westbrook,73,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,2018-19,0,8,1010,0.008
636,Rudy Gobert,81,31.8,15.9,12.9,2,0.8,2.3,0.669,0,0.636,14.4,2018-19,0,1,1010,0.001
636,LeBron James,55,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,2018-19,0,1,1010,0.001
