Player,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws
Giannis Antetokounmpo,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.932
James Harden,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.768
