Player,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws
James Harden,37.3,37.9,6.1,8,1.6,0.5,0.436,0.338,0.863,3.5
Lebron James,35.2,25.6,7.4,11,1.2,0.6,0.493,0.351,0.68,3.1
Giannis Antetokounmpo,32.9,31.1,13.9,6.4,1.6,1.3,0.563,0.3,0.601,3.5
Anthony Davis,34.8,25.1,9,3.8,1.5,2.9,0.474,0.339,0.882,2.9
Luka Doncic,33.9,30.6,10.1,9.8,1.4,0.2,0.494,0.347,0.817,3.6
